"id_aforo","fecha_ingreso","fecha_salida"
87503,,2020-09-12 09:03:12
87504,2020-09-12 09:03:19,
87505,2020-09-12 09:03:42,
87506,2020-09-12 09:03:42,
87508,2020-09-12 09:04:09,
87509,2020-09-12 09:04:12,
87510,,2020-09-12 09:04:19
87511,,2020-09-12 09:04:21
87512,2020-09-12 09:04:35,
87513,2020-09-12 09:04:35,
87514,2020-09-12 09:04:39,
88069,,2020-09-12 09:57:49
88078,,2020-09-12 09:59:01
88088,2020-09-12 09:59:26,
88098,2020-09-12 09:59:58,
88107,,2020-09-12 10:00:33
88111,,2020-09-12 10:00:44
88117,2020-09-12 10:01:01,
88121,,2020-09-12 10:01:12
88127,2020-09-12 10:01:28,
88131,2020-09-12 10:01:30,
88137,,2020-09-12 10:01:49
88141,2020-09-12 10:01:53,
88146,2020-09-12 10:02:23,
88150,2020-09-12 10:02:39,
88156,2020-09-12 10:03:02,
88911,2020-09-12 10:57:17,
88912,,2020-09-12 10:57:23
88913,2020-09-12 10:57:49,
88914,,2020-09-12 10:57:49
88915,,2020-09-12 10:57:49
88917,2020-09-12 10:57:49,
88919,2020-09-12 10:57:50,
88921,2020-09-12 10:57:51,
88922,2020-09-12 10:57:51,
88923,2020-09-12 10:57:52,
88924,2020-09-12 10:58:03,
88925,,2020-09-12 10:58:08
88927,2020-09-12 10:58:17,
88929,2020-09-12 10:58:17,
88931,,2020-09-12 10:58:19
88932,,2020-09-12 10:58:21
88933,,2020-09-12 10:58:22
88934,2020-09-12 10:58:22,
88935,2020-09-12 10:58:23,
88937,2020-09-12 10:58:24,
88939,2020-09-12 10:58:25,
88941,,2020-09-12 10:58:39
88942,,2020-09-12 10:58:41
88943,,2020-09-12 10:58:43
88944,2020-09-12 10:58:45,
88946,,2020-09-12 10:58:51
88948,2020-09-12 10:59:16,
88950,,2020-09-12 10:59:24
88951,2020-09-12 10:59:29,
88952,2020-09-12 10:59:30,
88953,2020-09-12 10:59:30,
89496,2020-09-12 11:29:40,
89495,2020-09-12 11:29:40,
89505,2020-09-12 11:29:45,
89506,2020-09-12 11:29:46,
89515,,2020-09-12 11:30:13
89516,,2020-09-12 11:30:14
89525,,2020-09-12 11:30:38
89526,,2020-09-12 11:30:38
89535,,2020-09-12 11:30:58
89536,,2020-09-12 11:30:58
89544,,2020-09-12 11:31:18
89545,,2020-09-12 11:31:23
89554,2020-09-12 11:31:53,
89555,2020-09-12 11:31:54,
89901,2020-09-12 11:49:20,
89911,,2020-09-12 11:50:29
89917,2020-09-12 11:50:31,
