"id_tiempo","fecha","año","semestre","trimestre","mes","mes_nombre","semana","dia_semana","fecha_inicio_año","fecha_fin_año","fecha_inicio_semestre","fecha_fin_semestre","fecha_inicio_trimestre","fecha_fin_trimestre","fecha_inicio_mes","fecha_fin_mes","fecha_inicio_semana","fecha_fin_semana"
20200426,2020-04-26,2020,1,2,4,Abril,17,Domingo,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-20,2020-04-26
20200427,2020-04-27,2020,1,2,4,Abril,18,Lunes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-27,2020-05-03
20200428,2020-04-28,2020,1,2,4,Abril,18,Martes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-27,2020-05-03
20200429,2020-04-29,2020,1,2,4,Abril,18,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-27,2020-05-03
20200430,2020-04-30,2020,1,2,4,Abril,18,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-04-01,2020-04-30,2020-04-27,2020-05-03
20200501,2020-05-01,2020,1,2,5,Mayo,18,Viernes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-04-27,2020-05-03
20200502,2020-05-02,2020,1,2,5,Mayo,18,Sábado,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-04-27,2020-05-03
20200503,2020-05-03,2020,1,2,5,Mayo,18,Domingo,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-04-27,2020-05-03
20200504,2020-05-04,2020,1,2,5,Mayo,19,Lunes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-04,2020-05-10
20200505,2020-05-05,2020,1,2,5,Mayo,19,Martes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-04,2020-05-10
20200506,2020-05-06,2020,1,2,5,Mayo,19,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-04,2020-05-10
20200507,2020-05-07,2020,1,2,5,Mayo,19,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-04,2020-05-10
20200508,2020-05-08,2020,1,2,5,Mayo,19,Viernes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-04,2020-05-10
20200509,2020-05-09,2020,1,2,5,Mayo,19,Sábado,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-04,2020-05-10
20200510,2020-05-10,2020,1,2,5,Mayo,19,Domingo,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-04,2020-05-10
20200511,2020-05-11,2020,1,2,5,Mayo,20,Lunes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-11,2020-05-17
20200512,2020-05-12,2020,1,2,5,Mayo,20,Martes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-11,2020-05-17
20200513,2020-05-13,2020,1,2,5,Mayo,20,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-11,2020-05-17
20200514,2020-05-14,2020,1,2,5,Mayo,20,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-11,2020-05-17
20200515,2020-05-15,2020,1,2,5,Mayo,20,Viernes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-11,2020-05-17
20200516,2020-05-16,2020,1,2,5,Mayo,20,Sábado,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-11,2020-05-17
20200517,2020-05-17,2020,1,2,5,Mayo,20,Domingo,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-11,2020-05-17
20200518,2020-05-18,2020,1,2,5,Mayo,21,Lunes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-18,2020-05-24
20200519,2020-05-19,2020,1,2,5,Mayo,21,Martes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-18,2020-05-24
20200520,2020-05-20,2020,1,2,5,Mayo,21,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-18,2020-05-24
20200521,2020-05-21,2020,1,2,5,Mayo,21,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-18,2020-05-24
20200522,2020-05-22,2020,1,2,5,Mayo,21,Viernes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-18,2020-05-24
20200523,2020-05-23,2020,1,2,5,Mayo,21,Sábado,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-18,2020-05-24
20200524,2020-05-24,2020,1,2,5,Mayo,21,Domingo,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-18,2020-05-24
20200525,2020-05-25,2020,1,2,5,Mayo,22,Lunes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-25,2020-05-31
20200526,2020-05-26,2020,1,2,5,Mayo,22,Martes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-25,2020-05-31
20200527,2020-05-27,2020,1,2,5,Mayo,22,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-25,2020-05-31
20200528,2020-05-28,2020,1,2,5,Mayo,22,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-25,2020-05-31
20200529,2020-05-29,2020,1,2,5,Mayo,22,Viernes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-25,2020-05-31
20200530,2020-05-30,2020,1,2,5,Mayo,22,Sábado,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-25,2020-05-31
20200531,2020-05-31,2020,1,2,5,Mayo,22,Domingo,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-05-01,2020-05-31,2020-05-25,2020-05-31
20200601,2020-06-01,2020,1,2,6,Junio,23,Lunes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-01,2020-06-07
20200602,2020-06-02,2020,1,2,6,Junio,23,Martes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-01,2020-06-07
20200603,2020-06-03,2020,1,2,6,Junio,23,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-01,2020-06-07
20200604,2020-06-04,2020,1,2,6,Junio,23,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-01,2020-06-07
20200605,2020-06-05,2020,1,2,6,Junio,23,Viernes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-01,2020-06-07
20200606,2020-06-06,2020,1,2,6,Junio,23,Sábado,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-01,2020-06-07
20200607,2020-06-07,2020,1,2,6,Junio,23,Domingo,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-01,2020-06-07
20200608,2020-06-08,2020,1,2,6,Junio,24,Lunes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-08,2020-06-14
20200609,2020-06-09,2020,1,2,6,Junio,24,Martes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-08,2020-06-14
20200610,2020-06-10,2020,1,2,6,Junio,24,Miércoles,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-08,2020-06-14
20200611,2020-06-11,2020,1,2,6,Junio,24,Jueves,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-08,2020-06-14
20200612,2020-06-12,2020,1,2,6,Junio,24,Viernes,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-08,2020-06-14
20200613,2020-06-13,2020,1,2,6,Junio,24,Sábado,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-08,2020-06-14
20200614,2020-06-14,2020,1,2,6,Junio,24,Domingo,2020-01-01,2020-12-30,2020-01-01,2020-06-30,2020-04-01,2020-06-30,2020-06-01,2020-06-30,2020-06-08,2020-06-14
